-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 03/08/2019 through 11/08/2020 in LST
Location: Latitude  51.066   Longitude -114.0937 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1289.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_UV_INDEX,T2M,RH2M,PS,T2MDEW,WS10M,WD10M,PRECTOTCORR
2019,3,8,0,0.0,-9.0,93.66,85.8,-10.34,3.56,256.4,1.1
2019,3,8,1,0.0,-9.26,92.86,85.8,-10.69,3.35,256.0,0.71
2019,3,8,2,0.0,-9.42,91.63,85.78,-11.0,3.26,255.6,0.44
2019,3,8,3,0.0,-9.49,90.65,85.74,-11.16,3.34,255.8,0.31
2019,3,8,4,0.0,-9.61,90.58,85.72,-11.29,3.43,259.1,0.27
2019,3,8,5,0.0,-10.08,91.76,85.72,-11.68,3.46,261.9,0.23
2019,3,8,6,0.0,-10.38,91.52,85.73,-11.97,3.58,265.4,0.23
2019,3,8,7,0.08,-9.32,89.81,85.76,-11.14,3.74,266.9,0.23
2019,3,8,8,0.38,-7.66,86.28,85.79,-9.93,4.36,270.4,0.21
2019,3,8,9,0.93,-6.04,82.87,85.82,-8.78,4.88,278.4,0.21
2019,3,8,10,1.48,-4.76,79.99,85.85,-7.93,4.97,287.7,0.22
2019,3,8,11,2.4,-3.92,77.61,85.86,-7.41,4.78,292.9,0.26
2019,3,8,12,2.4,-3.47,76.81,85.86,-7.1,4.52,293.2,0.37
2019,3,8,13,1.92,-3.29,76.83,85.85,-6.91,4.09,289.7,0.49
2019,3,8,14,1.15,-3.41,78.52,85.86,-6.8,3.56,285.8,0.51
2019,3,8,15,0.35,-3.88,82.96,85.88,-6.6,2.73,281.8,0.42
2019,3,8,16,0.08,-5.69,89.94,85.9,-7.48,1.94,275.9,0.32
2019,3,8,17,0.0,-8.64,91.83,85.94,-10.23,2.37,270.2,0.33
2019,3,8,18,0.0,-10.24,93.39,86.01,-11.65,2.69,270.0,0.44
2019,3,8,19,0.0,-10.8,92.53,86.06,-12.27,2.91,273.7,0.64
2019,3,8,20,0.0,-11.05,91.76,86.12,-12.61,3.04,277.4,0.58
2019,3,8,21,0.0,-11.25,91.08,86.16,-12.85,3.1,279.3,0.36
2019,3,8,22,0.0,-11.91,91.0,86.19,-13.48,3.07,280.3,0.04
2019,3,8,23,0.0,-12.61,90.24,86.21,-14.22,3.24,275.5,0.03
2019,3,9,0,0.0,-12.95,89.62,86.24,-14.63,3.31,271.0,0.02
2019,3,9,1,0.0,-13.11,88.12,86.24,-14.88,3.42,268.0,0.01
2019,3,9,2,0.0,-13.08,87.16,86.22,-14.97,3.41,269.0,0.0
2019,3,9,3,0.0,-12.98,87.08,86.23,-14.97,3.29,274.2,0.0
2019,3,9,4,0.0,-12.67,86.05,86.26,-14.75,3.04,282.3,0.0
2019,3,9,5,0.0,-12.49,86.02,86.3,-14.64,2.89,290.0,0.0
2019,3,9,6,0.03,-12.16,84.83,86.35,-14.45,2.82,296.3,0.0
2019,3,9,7,0.12,-9.62,82.59,86.39,-12.37,2.76,299.5,0.0
2019,3,9,8,0.55,-6.63,79.87,86.42,-9.8,2.91,300.6,0.0
2019,3,9,9,1.42,-4.43,77.32,86.44,-7.98,2.61,318.3,0.0
2019,3,9,10,2.35,-3.04,76.64,86.46,-6.67,2.68,332.0,0.0
2019,3,9,11,2.78,-2.27,75.67,86.46,-6.04,2.6,330.3,0.02
2019,3,9,12,2.67,-1.78,74.44,86.43,-5.76,2.48,324.5,0.04
2019,3,9,13,2.3,-1.49,73.42,86.4,-5.62,2.26,323.1,0.08
2019,3,9,14,1.35,-1.58,75.01,86.41,-5.44,1.91,333.8,0.07
2019,3,9,15,0.5,-2.07,82.19,86.43,-4.82,1.3,2.2,0.09
2019,3,9,16,0.1,-3.33,89.92,86.47,-5.03,0.98,42.5,0.2
2019,3,9,17,0.0,-5.26,89.43,86.52,-7.07,1.02,71.0,0.32
2019,3,9,18,0.0,-6.3,91.67,86.57,-7.85,0.98,107.1,0.35
2019,3,9,19,0.0,-7.04,93.65,86.6,-8.35,1.0,161.4,0.16
2019,3,9,20,0.0,-7.89,95.08,86.6,-9.08,1.51,211.2,0.05
2019,3,9,21,0.0,-9.51,97.86,86.6,-10.39,2.28,235.9,0.03
2019,3,9,22,0.0,-11.36,99.7,86.6,-11.95,2.95,250.8,0.22
2019,3,9,23,0.0,-12.71,98.96,86.59,-13.3,3.28,261.1,0.13
2019,3,10,0,0.0,-12.63,94.86,86.59,-13.66,3.41,267.8,0.04
2019,3,10,1,0.0,-12.21,90.68,86.6,-13.76,3.74,272.3,0.01
2019,3,10,2,0.0,-12.11,89.23,86.61,-13.87,3.87,272.7,0.01
2019,3,10,3,0.0,-12.09,88.44,86.63,-13.92,3.97,272.5,0.0
2019,3,10,4,0.0,-12.19,88.61,86.65,-13.97,3.98,272.0,0.0
2019,3,10,5,0.0,-12.24,90.33,86.65,-13.86,4.0,270.6,0.0
2019,3,10,6,0.03,-11.88,89.99,86.67,-13.54,4.06,268.6,0.0
2019,3,10,7,0.15,-9.27,86.88,86.69,-11.44,4.05,266.6,0.0
2019,3,10,8,0.7,-6.04,84.12,86.72,-8.6,3.99,265.0,0.0
2019,3,10,9,1.73,-2.99,82.1,86.73,-5.79,3.45,264.2,0.0
2019,3,10,10,2.72,-0.76,76.86,86.73,-4.32,3.18,265.0,0.0
2019,3,10,11,3.22,0.32,73.84,86.72,-3.75,2.88,265.2,0.0
2019,3,10,12,3.12,0.79,69.42,86.68,-4.09,2.97,264.8,0.0
2019,3,10,13,2.45,1.05,66.42,86.65,-4.43,3.13,261.6,0.0
2019,3,10,14,1.42,1.06,65.71,86.61,-4.52,3.32,256.8,0.0
2019,3,10,15,0.47,0.43,69.85,86.59,-4.33,3.47,251.1,0.0
2019,3,10,16,0.08,-2.02,78.78,86.59,-5.31,3.72,249.4,0.0
2019,3,10,17,0.0,-4.92,87.3,86.61,-7.05,4.41,254.4,0.0
2019,3,10,18,0.0,-6.14,89.32,86.61,-8.02,5.0,258.7,0.0
2019,3,10,19,0.0,-6.75,88.48,86.57,-8.73,5.44,258.9,0.0
2019,3,10,20,0.0,-6.78,87.05,86.52,-8.97,5.89,259.5,0.0
2019,3,10,21,0.0,-5.91,84.07,86.47,-8.5,6.25,259.9,0.0
2019,3,10,22,0.0,-5.28,82.42,86.43,-8.09,6.57,261.2,0.0
