-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 03/08/2019 through 11/08/2020 in LST
Location: Latitude  51.0662   Longitude -114.0936 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1289.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/hour) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB         CERES SYN1deg All Sky Surface Albedo (dimensionless) 
PS                     MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (Wh/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface Total PAR (Wh/m^2) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
SZA                    CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SFC_UVA         CERES SYN1deg All Sky Surface UVA Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,T2MDEW,T2MWET,RH2M,PRECTOTCORR,WS10M,WD10M,CLOUD_AMT,ALLSKY_KT,ALLSKY_SRF_ALB,PS,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,QV2M,SZA,ALLSKY_SFC_UVA
2019,3,8,0,0.0,0.0,0.0,0.0,-9.0,-10.34,-9.67,93.66,1.1,3.56,256.4,99.99,-999.0,-999.0,85.8,0.0,0.0,1.93,90.0,0.0
2019,3,8,1,0.0,0.0,0.0,0.0,-9.26,-10.69,-9.98,92.86,0.71,3.35,256.0,88.67,-999.0,-999.0,85.8,0.0,0.0,1.87,90.0,0.0
2019,3,8,2,0.0,0.0,0.0,0.0,-9.42,-11.0,-10.21,91.63,0.44,3.26,255.6,95.61,-999.0,-999.0,85.78,0.0,0.0,1.82,90.0,0.0
2019,3,8,3,0.0,0.0,0.0,0.0,-9.49,-11.16,-10.32,90.65,0.31,3.34,255.8,57.4,-999.0,-999.0,85.74,0.0,0.0,1.79,90.0,0.0
2019,3,8,4,0.0,0.0,0.0,0.0,-9.61,-11.29,-10.45,90.58,0.27,3.43,259.1,100.0,-999.0,-999.0,85.72,0.0,0.0,1.77,90.0,0.0
2019,3,8,5,0.0,0.0,0.0,0.0,-10.08,-11.68,-10.88,91.76,0.23,3.46,261.9,100.0,-999.0,-999.0,85.72,0.0,0.0,1.72,90.0,0.0
2019,3,8,6,9.57,26.75,9.58,9.75,-10.38,-11.97,-11.17,91.52,0.23,3.58,265.4,99.35,0.17,0.49,85.73,4.15,8.49,1.67,87.68,0.68
2019,3,8,7,76.85,181.32,22.91,68.15,-9.32,-11.14,-10.23,89.81,0.23,3.74,266.9,99.34,0.29,0.49,85.76,36.33,72.67,1.8,79.13,5.41
2019,3,8,8,166.8,347.12,65.0,133.68,-7.66,-9.93,-8.79,86.28,0.21,4.36,270.4,96.09,0.37,0.49,85.79,80.5,145.74,2.0,70.97,11.9
2019,3,8,9,248.23,485.08,105.37,194.37,-6.04,-8.78,-7.41,82.87,0.21,4.88,278.4,94.16,0.41,0.49,85.82,121.48,206.65,2.21,64.09,18.06
2019,3,8,10,300.12,581.12,150.05,214.73,-4.76,-7.93,-6.35,79.99,0.22,4.97,287.7,92.35,0.42,0.49,85.85,149.22,249.17,2.38,59.11,22.36
2019,3,8,11,479.25,633.7,550.59,202.4,-3.92,-7.41,-5.66,77.61,0.26,4.78,292.9,59.73,0.63,0.56,85.86,229.65,272.97,2.48,56.6,33.96
2019,3,8,12,488.6,628.25,327.44,291.58,-3.47,-7.1,-5.28,76.81,0.37,4.52,293.2,81.57,0.65,0.57,85.86,226.65,270.85,2.55,56.93,34.06
